LoanAccount,Max_OverdueAmount,Total_Paid,Total_Scheduled,Min_Outstanding,Has_Early_Overdue
L0265F283C2BD111DA0AB85EF7EDDCB22,30481.0,28800.0,59281.0,27534.0,1
L026760A6108592E5D125C61E13F5E5CF,30100.0,10500.0,40600.0,30100.0,1
L0267CA0FA0E1FEA7D8B0A6A374B391AD,0.0,57037.0,57037.0,0.0,0
L0269E4F0F16731032AA3C9F9C5180F6A,0.0,11679.0,11679.0,0.0,0
L026A164B2BB6E3E566D58E5BF2F76E6F,0.0,21518.0,21518.0,0.0,0
L026BE4433B55BC787BD205AD9F9AC209,3920.0,14120.0,14120.0,0.0,1
L026E7A046D9BA34C40C4C23AEA3C538B,500.0,11566.0,11566.0,0.0,1
L02701B20DA42A2F4917004F3F0F3F80C,0.0,11743.0,11743.0,0.0,0
L02709748EE01F7C823021C0852141D9E,0.0,27292.0,27292.0,0.0,0
L02716F46B09ABDF7CA83E6678B095CF4,18196.0,5000.0,23196.0,18196.0,1
L0279053FB82F4D7C6E0E2026B6502F17,0.0,22961.0,22961.0,0.0,0
L027C4B52767CED71002944B1D9B47737,0.0,15175.0,15175.0,0.0,0
L027DA8F17295DA6BE6DC9F029DDE9150,0.0,41858.0,41858.0,0.0,0
L02844948514A8B27D67FE55C048D69D0,6428.0,20028.0,20028.0,0.0,1
L02884F038C05F733366BD351B953E05E,0.0,17872.0,17872.0,0.0,0
L028AE245D3E83D44E524072B27653D2C,0.0,11442.0,11442.0,0.0,0
L0290DAD78F623DF26C7901833E3DE2B4,0.0,25454.0,25454.0,0.0,0
L0292438D9457142FAC0BA187FA235E91,0.0,11678.0,11678.0,0.0,0
L0298A7E3438A12BA126123A693AD54F7,0.0,24986.0,24986.0,0.0,0
L029989067FBC218626A8CBAC7407D89D,0.0,23510.0,23510.0,0.0,0
L029BD37B65B25C0D2FBEF7ED992C2B65,0.0,15054.0,15054.0,0.0,0
L029C539EB529D36462AB2388216663F8,0.0,29354.0,29354.0,0.0,0
L029CC6E485FD37D88AE5DE801C354B60,0.0,11895.0,11895.0,0.0,0
L029D0B0A069993D1B84AA6357468AA5F,0.0,52309.0,52309.0,0.0,0
L029DB68F637E7CB159D254F8F9177A67,15301.0,15000.0,30301.0,14542.0,1
L029E9E1537BCE20603DC0ACB8DF18D8D,0.0,8060.0,8060.0,0.0,0
L029FA1ED36DFB09C988D4F82B88579D5,4589.0,7500.0,12089.0,4369.0,1
L02A25B0E1F2CF386C8204986B6F5D59F,16352.0,1500.0,17852.0,15900.0,1
L02A4CA575EDA9B96DAFFAC9FA8998486,27451.0,24750.0,52201.0,27451.0,1
L02A5C299AA6358623BB9728E0CB27B3A,0.0,12687.0,12687.0,0.0,0
L02A625ED5A45CD9ECD160341E20928FA,0.0,11703.0,11703.0,0.0,0
L02A6BB7754E8618587DD86F89EB18811,5648.0,18000.0,23648.0,5469.0,1
